"No.","Time","Source","Src Port","Destination","Des Port","Protocol","Length","Info"
"20530","2023-09-10 18:20:03.587906","10.0.0.112","8080","14.0.0.120","41388","TCP","66","8080  >  41388 [ACK] Seq=520 Ack=336 Win=64896 Len=0 TSval=3538301037 TSecr=429662084"
"20531","2023-09-10 18:20:03.587910","14.0.0.120","41404","10.0.0.112","8080","TCP","66","41404  >  8080 [FIN, ACK] Seq=337 Ack=1461 Win=64128 Len=0 TSval=429662085 TSecr=3538301037"
"20532","2023-09-10 18:20:03.588140","10.0.0.112","8080","14.0.0.120","41404","TCP","66","8080  >  41404 [ACK] Seq=1461 Ack=338 Win=64896 Len=0 TSval=3538301037 TSecr=429662085"
"20533","2023-09-10 18:20:05.732911","14.0.0.120","37736","10.0.0.112","8080","HTTP","456","GET /manager/html HTTP/1.1 "
"20534","2023-09-10 18:20:05.737174","10.0.0.112","8080","14.0.0.120","37736","TCP","1514","8080  >  37736 [ACK] Seq=13467 Ack=3266 Win=64128 Len=1448 TSval=3538303186 TSecr=429664229 [TCP PDU reassembled in 20535]"
"20535","2023-09-10 18:20:05.737181","10.0.0.112","8080","14.0.0.120","37736","HTTP","1374","HTTP/1.1 401 Unauthorized  (text/html)"
"20536","2023-09-10 18:20:05.737383","14.0.0.120","37736","10.0.0.112","8080","TCP","66","37736  >  8080 [ACK] Seq=3266 Ack=16223 Win=64128 Len=0 TSval=429664234 TSecr=3538303186"
"20537","2023-09-10 18:20:07.884333","14.0.0.120","37736","10.0.0.112","8080","HTTP","460","GET /manager/html HTTP/1.1 "
"20538","2023-09-10 18:20:07.885730","10.0.0.112","8080","14.0.0.120","37736","TCP","1514","8080  >  37736 [ACK] Seq=16223 Ack=3660 Win=64128 Len=1448 TSval=3538305335 TSecr=429666380 [TCP PDU reassembled in 20539]"
"20539","2023-09-10 18:20:07.885738","10.0.0.112","8080","14.0.0.120","37736","HTTP","1374","HTTP/1.1 401 Unauthorized  (text/html)"
"20540","2023-09-10 18:20:07.885873","14.0.0.120","37736","10.0.0.112","8080","TCP","66","37736  >  8080 [ACK] Seq=3660 Ack=18979 Win=64128 Len=0 TSval=429666383 TSecr=3538305335"
"20541","2023-09-10 18:20:09.664242","14.0.0.120","37736","10.0.0.112","8080","HTTP","448","GET /manager/html HTTP/1.1 "
"20542","2023-09-10 18:20:09.666040","10.0.0.112","8080","14.0.0.120","37736","TCP","1514","8080  >  37736 [ACK] Seq=18979 Ack=4042 Win=64128 Len=1448 TSval=3538307115 TSecr=429668161 [TCP PDU reassembled in 20543]"
"20543","2023-09-10 18:20:09.666047","10.0.0.112","8080","14.0.0.120","37736","HTTP","1374","HTTP/1.1 401 Unauthorized  (text/html)"
"20544","2023-09-10 18:20:09.666247","14.0.0.120","37736","10.0.0.112","8080","TCP","66","37736  >  8080 [ACK] Seq=4042 Ack=21735 Win=64128 Len=0 TSval=429668163 TSecr=3538307115"
"20545","2023-09-10 18:20:16.440021","14.0.0.120","37736","10.0.0.112","8080","HTTP","456","GET /manager/html HTTP/1.1 "
"20546","2023-09-10 18:20:16.441567","10.0.0.112","8080","14.0.0.120","37736","TCP","1514","8080  >  37736 [ACK] Seq=21735 Ack=4432 Win=64128 Len=1448 TSval=3538313890 TSecr=429674937 [TCP PDU reassembled in 20547]"
"20547","2023-09-10 18:20:16.441573","10.0.0.112","8080","14.0.0.120","37736","HTTP","1374","HTTP/1.1 401 Unauthorized  (text/html)"
